feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0,0,CRP,ARG1,0,0
0.014194718,2.80E-07,IL10,ARG1,0.019163048,3.51E-07
0,0,IL1B,ARG1,0,0
0.013868647,8.78E-06,SLC11A1,ARG1,0.018722848,1.10E-05
0.019374482,7.18E-07,CCR5,ARG1,0.026155796,9.00E-07
0,0,CXCL8,ARG1,0,0
0,0,CSF2,ARG1,0,0
0.002307688,4.92E-08,IL4,ARG1,0.003115408,6.18E-08
0.125079623,1.07E-06,LTA,ARG1,0.168859073,1.34E-06
0.050908762,4.06E-06,TNF,ARG1,0.068727472,5.10E-06
0.535161679,3.25E-05,HLA-DRB1,ARG1,0.722475034,4.08E-05
0.069455436,2.89E-05,HLA-DQA1,ARG1,0.093765718,3.62E-05
0.090496824,3.09E-05,HLA-DQA1,ARG1,0.122171856,3.88E-05
0,0,IL6,ARG1,0,0
0,0,MBL2,ARG1,0,0
0.01102907,8.77E-07,IL18,ARG1,0.014889384,1.10E-06
0.058323942,8.01E-06,IFNG,ARG1,0.078738059,1.00E-05
0,0,CCL2,ARG1,0,0
0.00979913,6.13E-06,HMOX1,ARG1,0.013228949,7.69E-06
0,0,ARG1,CRP,0,0
0,0,IL10,CRP,0,0
0,0,IL1B,CRP,0,0
0,0,SLC11A1,CRP,0,0
0,0,CCR5,CRP,0,0
0,0,CXCL8,CRP,0,0
0,0,CSF2,CRP,0,0
0,0,IL4,CRP,0,0
0,0,LTA,CRP,0,0
0,0,TNF,CRP,0,0
0,0,HLA-DRB1,CRP,0,0
0,0,HLA-DQA1,CRP,0,0
0,0,HLA-DQA1,CRP,0,0
0,0,ARG1,CRP,0,0
0,0,IL6,CRP,0,0
0,0,MBL2,CRP,0,0
0,0,IL18,CRP,0,0
0,0,IFNG,CRP,0,0
0,0,CCL2,CRP,0,0
0,0,HMOX1,CRP,0,0
0,0,ARG1,IL10,0,0
0,0,CRP,IL10,0,0
0.000926359,0.000278915,IL1B,IL10,0.001250596,0.000350001
0.073357477,0.006913593,SLC11A1,IL10,0.099033522,0.008675618
0.00180505,0.000252511,CCR5,IL10,0.00243684,0.000316867
0.000892703,8.02E-05,CXCL8,IL10,0.00120516,0.000100669
0,0,CSF2,IL10,0,0
3.03E-05,9.66E-07,IL4,IL10,4.10E-05,1.21E-06
0.101660014,0.001576417,LTA,IL10,0.137242305,0.001978189
0.025405765,0.0014711,TNF,IL10,0.034298104,0.00184603
0.305670648,0.036711849,HLA-DRB1,IL10,0.41265924,0.046068375
0.204576076,0.011860264,HLA-DQA1,IL10,0.276180289,0.014883018
0.12874479,0.013631312,HLA-DQA1,IL10,0.173807095,0.017105442
4.32E-06,1.44E-06,ARG1,IL10,5.83E-06,1.81E-06
6.08E-05,2.43E-06,IL6,IL10,8.21E-05,3.05E-06
0,0,MBL2,IL10,0,0
0.004769325,0.000238136,IL18,IL10,0.006438649,0.000298829
0.072375528,0.006512909,IFNG,IL10,0.097707878,0.008172815
1.17E-05,3.66E-06,CCL2,IL10,1.58E-05,4.60E-06
0.079709082,0.011319669,HMOX1,IL10,0.107608269,0.014204645
0,0,ARG1,IL1B,0,0
0,0,CRP,IL1B,0,0
0.002629081,0.000626123,IL10,IL1B,0.003549293,0.000785699
0.164613805,0.078609529,SLC11A1,IL1B,0.222230719,0.098644263
0.003204263,0.000159572,CCR5,IL1B,0.004325796,0.000200241
0.157341995,0.003721598,CXCL8,IL1B,0.212413683,0.0046701
0,0,CSF2,IL1B,0,0
4.29E-05,5.87E-05,IL4,IL1B,5.79E-05,7.36E-05
0.010427608,0.003830575,LTA,IL1B,0.014077403,0.004806851
0.088776329,0.004104535,TNF,IL1B,0.119849167,0.005150633
0.148814225,0.020505379,HLA-DRB1,IL1B,0.200901085,0.025731461
0.11073165,0.008841561,HLA-DQA1,IL1B,0.149489127,0.011094956
0.116573187,0.007837157,HLA-DQA1,IL1B,0.157375276,0.009834566
0,0,ARG1,IL1B,0,0
0,0,IL6,IL1B,0,0
0,0,MBL2,IL1B,0,0
0.052749401,0.004739009,IL18,IL1B,0.071212359,0.005946811
0.000355352,0.000207815,IFNG,IL1B,0.00047973,0.000260779
0.008236425,0.000708626,CCL2,IL1B,0.011119277,0.00088923
0.135503797,0.012735418,HMOX1,IL1B,0.182931839,0.015981217
0,0,ARG1,SLC11A1,0,0
0,0,CRP,SLC11A1,0,0
0.008650876,0.00309289,IL10,SLC11A1,0.011678791,0.003881156
0.044086513,0.021523911,IL1B,SLC11A1,0.059517351,0.02700958
0.004765931,0.002493043,CCR5,SLC11A1,0.006434067,0.00312843
0.040974397,0.013855557,CXCL8,SLC11A1,0.055315954,0.017386839
0,0,CSF2,SLC11A1,0,0
0.001063051,0.000169415,IL4,SLC11A1,0.001435133,0.000212593
0.005547265,0.003576053,LTA,SLC11A1,0.007488878,0.00448746
